x,y,u,v,p
5.0,0.2,-0.00023884673,1.1035697e-06,-2.8577297e-05
3.8,-0.9,5.3091255e-05,-9.074726e-06,-4.8756796e-05
3.8,-0.8,-1.7232125e-05,-8.191082e-06,-4.8482914e-05
3.9,-0.7,-8.0721285e-05,-3.6760406e-07,-4.6489517e-05
4.0,-0.6,-0.00013572862,8.808267e-06,-4.391312e-05
4.1,-0.5,-0.00017986684,1.7710687e-05,-4.0926036e-05
4.2,-0.4,-0.00021136264,2.4365369e-05,-3.781746e-05
4.3,-0.3,-0.00023038975,2.7149712e-05,-3.495266e-05
4.4,-0.2,-0.00023947126,2.5668805e-05,-3.2618642e-05
4.5,-0.1,-0.00024235385,2.0858832e-05,-3.0962303e-05
4.6,2.590983e-14,-0.00024246742,1.447131e-05,-2.9938721e-05
4.7,0.1,-0.00024188685,8.270292e-06,-2.9390098e-05
4.8,0.2,-0.0002413471,3.4576142e-06,-2.9112927e-05
4.9,0.3,-0.00024080879,6.6070004e-07,-2.8944856e-05
5.0,0.3,-0.00024017418,3.838909e-07,-2.889279e-05
3.7,-0.9,5.303497e-05,-1.3690565e-05,-4.9834507e-05
3.7,-0.8,-1.5818374e-05,-1.3219733e-05,-4.9547383e-05
3.8,-0.7,-7.79449e-05,-6.066534e-06,-4.7930833e-05
3.9,-0.6,-0.00013251104,2.7031742e-06,-4.5730496e-05
4.0,-0.5,-0.00017740575,1.1754774e-05,-4.3061802e-05
4.1,-0.4,-0.00021075936,1.9342502e-05,-4.014563e-05
4.2,-0.3,-0.00023213429,2.3822868e-05,-3.7282214e-05
4.3,-0.2,-0.00024317506,2.436356e-05,-3.4767796e-05
4.4,-0.1,-0.00024703858,2.1351827e-05,-3.2787342e-05
4.5,2.6999236e-14,-0.00024707476,1.6076521e-05,-3.1376745e-05
4.6,0.1,-0.00024570883,1.0157734e-05,-3.0446015e-05
4.7,0.2,-0.00024411576,4.9256964e-06,-2.9840703e-05
4.8,0.3,-0.00024255183,1.2263409e-06,-2.9386734e-05
4.9,0.4,-0.00024084712,-5.278653e-07,-2.8959545e-05
5.0,0.4,-0.00024020902,-3.2003533e-07,-2.8898326e-05
3.6,-0.9,5.2564454e-05,-1.800755e-05,-5.0555445e-05
3.6,-0.8,-1.4776647e-05,-1.790949e-05,-5.0262115e-05
3.7,-0.7,-7.544415e-05,-1.14294335e-05,-4.8990427e-05
3.8,-0.6,-0.00012932456,-3.1664467e-06,-4.7151912e-05
3.9,-0.5,-0.00017459861,5.7907387e-06,-4.4819793e-05
4.0,-0.4,-0.00020941447,1.3928303e-05,-4.2157266e-05
4.1,-0.3,-0.00023293615,1.967082e-05,-3.9405964e-05
4.2,-0.2,-0.0002460736,2.1948383e-05,-3.6835994e-05
4.3,-0.1,-0.0002513339,2.0679321e-05,-3.4653975e-05
4.4,2.8095581e-14,-0.0002518103,1.6713517e-05,-3.2956035e-05
4.5,0.1,-0.0002500935,1.1408061e-05,-3.1702977e-05
4.6,0.2,-0.00024770683,6.095127e-06,-3.079085e-05
4.7,0.3,-0.00024520987,1.7629986e-06,-3.007449e-05
4.8,0.4,-0.00024259226,-9.5075825e-07,-2.9406385e-05
4.9,0.5,-0.00023963414,-1.7488928e-06,-2.8683331e-05
5.0,0.5,-0.00023895038,-1.0398468e-06,-2.859349e-05
3.5,-0.8,-1.40712455e-05,-2.226991e-05,-5.0673356e-05
3.5,-0.9,5.174743e-05,-2.2031036e-05,-5.0967814e-05
3.6,-0.7,-7.321877e-05,-1.643467e-05,-4.971049e-05
3.7,-0.6,-0.00012622557,-8.724187e-06,-4.8210848e-05
3.8,-0.5,-0.00017155964,-2.1693376e-08,-4.6215755e-05
3.9,-0.4,-0.00020746433,8.375819e-06,-4.3841585e-05
4.0,-0.3,-0.00023286162,1.5010029e-05,-4.1278894e-05
4.1,-0.2,-0.0002480898,1.8709368e-05,-3.875864e-05
4.2,-0.1,-0.00025502167,1.9043278e-05,-3.6488298e-05
4.3,2.9195396e-14,-0.00025637427,1.6458407e-05,-3.4598852e-05
4.4,0.1,-0.000254742,1.200248e-05,-3.310224e-05
4.5,0.2,-0.00025189883,6.9028083e-06,-3.1932104e-05
4.6,0.3,-0.00024867724,2.202391e-06,-3.0973413e-05
4.7,0.4,-0.00024524968,-1.3398842e-06,-3.0094307e-05
4.8,0.5,-0.00024146902,-3.1823772e-06,-2.9171777e-05
4.9,0.6,-0.00023709018,-3.0630258e-06,-2.8104425e-05
5.0,0.6,-0.00023632473,-1.8155613e-06,-2.7966196e-05
3.4,-0.8,-1.3673265e-05,-2.6313379e-05,-5.0820414e-05
3.4,-0.9,5.0575465e-05,-2.5777923e-05,-5.1110295e-05
3.5,-0.7,-7.125434e-05,-2.1083217e-05,-5.0132567e-05
3.6,-0.6,-0.00012324574,-1.3930925e-05,-4.8943035e-05
3.7,-0.5,-0.00016837765,-5.580664e-06,-4.7272828e-05
3.8,-0.4,-0.00020503318,2.8666439e-06,-4.520209e-05
3.9,-0.3,-0.00023200648,1.0092886e-05,-4.2876338e-05
4.0,-0.2,-0.0002492137,1.4907757e-05,-4.048748e-05
4.1,-0.1,-0.0002579562,1.665552e-05,-3.8228165e-05
4.2,2.9469517e-12,-0.00026052367,1.5433046e-05,-3.6241392e-05
4.3,0.1,-0.00025937756,1.1975423e-05,-3.4580666e-05
4.4,0.2,-0.0002564328,7.331775e-06,-3.321465e-05
4.5,0.3,-0.000252763,2.5235975e-06,-3.205809e-05
4.6,0.4,-0.0002487193,-1.6333477e-06,-3.0993553e-05
4.7,0.5,-0.0002442367,-4.505659e-06,-2.9900037e-05
4.8,0.6,-0.0002391047,-5.570777e-06,-2.867174e-05
4.9,0.7,-0.00023304783,-4.5339816e-06,-2.7200085e-05
5.0,0.7,-0.00023216137,-2.6934042e-06,-2.6988002e-05
3.3,-0.9,4.912255e-05,-2.9272334e-05,-5.1018404e-05
3.3,-0.8,-1.3541772e-05,-3.0056768e-05,-5.0737213e-05
3.4,-0.7,-6.953038e-05,-2.5384637e-05,-5.0294315e-05
3.5,-0.6,-0.00012039829,-1.8773748e-05,-4.9384555e-05
3.6,-0.5,-0.00016511562,-1.0826174e-05,-4.8018836e-05
3.7,-0.4,-0.00020222474,-2.4739684e-06,-4.6251145e-05
3.8,-0.3,-0.00023047587,5.110038e-06,-4.4189896e-05
3.9,-0.2,-0.00024948188,1.0770455e-05,-4.1989675e-05
4.0,-0.1,-0.00026006592,1.3717905e-05,-3.981933e-05
4.1,1.1073047e-11,-0.00026407596,1.3778175e-05,-3.782262e-05
4.2,0.1,-0.00026375492,1.1392736e-05,-3.6079262e-05
4.3,0.2,-0.0002610537,7.394723e-06,-3.4583543e-05
4.4,0.3,-0.00025722606,2.7201854e-06,-3.3283683e-05
4.5,0.4,-0.00025280894,-1.8121373e-06,-3.207851e-05
4.6,0.5,-0.00024783626,-5.532871e-06,-3.0851235e-05
4.7,0.6,-0.00024209415,-7.859442e-06,-2.9488834e-05
4.8,0.7,-0.0002353343,-8.210964e-06,-2.7890008e-05
4.9,0.8,-0.00022722915,-6.2327254e-06,-2.5935014e-05
5.0,0.8,-0.00022617877,-3.7155191e-06,-2.5615402e-05
3.2,-0.8,-1.3638689e-05,-3.35397e-05,-5.0461556e-05
3.2,-0.9,4.7456353e-05,-3.2540862e-05,-5.073376e-05
3.3,-0.7,-6.802667e-05,-2.9358127e-05,-5.022977e-05
3.4,-0.6,-0.00011768881,-2.3258965e-05,-4.9570164e-05
3.5,-0.5,-0.00016181835,-1.5730304e-05,-4.8484042e-05
3.6,-0.4,-0.00019912301,-7.565821e-06,-4.700787e-05
3.7,-0.3,-0.00022836839,2.002288e-07,-4.5221786e-05
3.8,-0.2,-0.00024895827,6.4797223e-06,-4.3246924e-05
3.9,-0.1,-0.0002613294,1.041813e-05,-4.122618e-05
4.0,1.7532482e-11,-0.0002669135,1.1645322e-05,-3.9290717e-05
4.1,0.1,-0.00026767855,1.0343453e-05,-3.7537895e-05
4.2,0.2,-0.0002655251,7.1249115e-06,-3.598376e-05
4.3,0.3,-0.00026182362,2.7948013e-06,-3.4598394e-05
4.4,0.4,-0.0002572779,-1.8705027e-06,-3.3304277e-05
4.5,0.5,-0.00025204226,-6.2024455e-06,-3.1993448e-05
4.6,0.6,-0.00024593683,-9.613187e-06,-3.0546486e-05
4.7,0.7,-0.0002386486,-1.1510298e-05,-2.8850478e-05
4.8,0.8,-0.00022987217,-1.1200168e-05,-2.6805736e-05
4.9,0.9,-0.00021919937,-8.220981e-06,-2.4264033e-05
5.0,0.9,-0.0002179453,-4.9265586e-06,-2.3788636e-05
3.1,-0.9,4.556042e-05,-3.5605928e-05,-5.0285675e-05
3.1,-0.8,-1.3939986e-05,-3.6796722e-05,-5.0023213e-05
